Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.149329","0.149329",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=200.0,Y=200.0,Z=0.0)","(X=0.707107,Y=-0.707107,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.871395","0.945509","(X=-0.008048,Y=-0.065236)","(X=-0.044244,Y=-0.072226)","(X=-0.02612,Y=-0.068726)","True"
1,"(X=179.700592,Y=79.557838,Z=63.59169)","0.4","0.549329",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=495.571442,Y=-997.016968,Z=635.91687)","(X=-0.975375,Y=0.176934,Z=0.131674)","(X=0.989294,Y=-0.020734,Z=-0.144457)","(X=-147.724945,Y=86.420074,Z=111.402496)","(Pitch=-3.138731,Yaw=1.198281,Roll=5.401375)","1.0","1.0","(X=-0.002779,Y=-0.065373)","(X=-0.043355,Y=-0.066366)","(X=-0.023047,Y=-0.065869)","True"
2,"(X=179.185638,Y=76.902771,Z=64.227814)","0.041323","0.590652",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=469.020996,Y=-991.867188,Z=642.278137)","(X=-0.969557,Y=0.236122,Z=0.064859)","(X=0.989337,Y=-0.028802,Z=-0.142766)","(X=-147.724945,Y=86.420074,Z=111.402496)","(Pitch=-3.138731,Yaw=1.198281,Roll=5.401375)","1.0","1.0","(X=-0.008145,Y=-0.064825)","(X=-0.04954,Y=-0.065655)","(X=-0.028816,Y=-0.06524)","True"
3,"(X=188.998764,Y=100.058609,Z=97.477989)","0.031605","0.622256",StaticMeshActor_11,"(X=200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=300.058655,Y=11.000061,Z=97.477989)","(X=-1.0,Y=-0.000004,Z=-0.0)","(X=0.997575,Y=0.047539,Z=-0.050836)","(X=-160.170792,Y=83.419121,Z=115.271545)","(Pitch=2.181316,Yaw=4.792267,Roll=0.809375)","1.0","1.0","(X=-0.006351,Y=-0.062778)","(X=-0.042515,Y=-0.062837)","(X=-0.024417,Y=-0.062808)","True"
4,"(X=188.998764,Y=100.058609,Z=97.477989)","0.4","1.022256",StaticMeshActor_11,"(X=200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=300.058655,Y=11.000061,Z=97.477989)","(X=-1.0,Y=-0.000004,Z=-0.0)","(X=0.997585,Y=0.047536,Z=-0.050646)","(X=-160.052216,Y=83.42601,Z=115.198685)","(Pitch=2.215256,Yaw=4.642989,Roll=0.883336)","0.39838","0.559443","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
5,"(X=188.99884,Y=102.689896,Z=81.411102)","0.4","1.422256",StaticMeshActor_11,"(X=200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=90.000229,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=302.689941,Y=10.999939,Z=81.411102)","(X=-1.0,Y=-0.000004,Z=-0.0)","(X=0.993806,Y=0.057175,Z=-0.095297)","(X=-159.853851,Y=82.619957,Z=114.862839)","(Pitch=-0.129787,Yaw=4.184713,Roll=0.923437)","1.0","1.0","(X=0.00616,Y=-0.066057)","(X=-0.025857,Y=-0.065158)","(X=-0.009844,Y=-0.065608)","True"
6,"(X=160.504257,Y=93.117424,Z=47.179199)","0.4","1.822256",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=631.168762,Y=-805.054443,Z=471.791992)","(X=0.002156,Y=0.0,Z=0.999998)","(X=0.978328,Y=0.030114,Z=-0.204857)","(X=-158.139786,Y=83.309113,Z=113.901665)","(Pitch=-6.144349,Yaw=3.165214,Roll=0.127869)","1.0","1.0","(X=0.002997,Y=-0.072484)","(X=-0.036412,Y=-0.066881)","(X=-0.016702,Y=-0.069683)","True"
7,"(X=164.860748,Y=89.465767,Z=47.186623)","0.017074","1.83933",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=594.651733,Y=-848.619141,Z=471.866211)","(X=-0.004771,Y=0.001353,Z=0.999988)","(X=0.979178,Y=0.018125,Z=-0.202192)","(X=-157.952545,Y=83.490295,Z=113.844772)","(Pitch=-5.827059,Yaw=2.644256,Roll=0.64448)","1.0","1.0","(X=0.003244,Y=-0.073038)","(X=-0.039775,Y=-0.070677)","(X=-0.018252,Y=-0.071858)","True"
8,"(X=148.931625,Y=90.118179,Z=47.177788)","0.048412","1.887742",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=601.17688,Y=-689.328003,Z=471.777893)","(X=-0.00132,Y=0.000943,Z=0.999999)","(X=0.977003,Y=0.020997,Z=-0.212188)","(X=-157.865799,Y=83.524582,Z=113.808846)","(Pitch=-6.166656,Yaw=3.279718,Roll=0.786985)","1.0","1.0","(X=-0.001257,Y=-0.074982)","(X=-0.04596,Y=-0.075133)","(X=-0.023585,Y=-0.075057)","True"
9,"(X=151.990997,Y=89.851654,Z=47.185738)","0.012704","1.900446",StaticMeshActor_25,"(X=79.999207,Y=30.000061,Z=0.0)","(Pitch=0.0,Yaw=90.000351,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=598.511475,Y=-719.92157,Z=471.857361)","(X=-0.001998,Y=0.00103,Z=0.999997)","(X=0.977457,Y=0.020093,Z=-0.210175)","(X=-157.907959,Y=83.481369,Z=113.820992)","(Pitch=-6.175358,Yaw=3.120221,Roll=0.525937)","1.0","1.0","(X=-0.0026,Y=-0.073755)","(X=-0.04278,Y=-0.072967)","(X=-0.022672,Y=-0.073362)","True"
