Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.016682","0.016682",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=200.0,Y=200.0,Z=0.0)","(X=-0.707107,Y=0.707107,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.465481","0.59293","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","True"
1,"(X=-136.782288,Y=69.486382,Z=46.64856)","0.4","0.416682",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1094.861572,Y=-567.833008,Z=466.485596)","(X=0.911242,Y=-0.156448,Z=0.381001)","(X=-0.967032,Y=-0.110261,Z=-0.229545)","(X=134.691162,Y=100.439728,Z=111.088348)","(Pitch=-3.380431,Yaw=-177.278473,Roll=0.407749)","1.0","1.0","(X=0.079848,Y=-0.097554)","(X=0.01319,Y=-0.146789)","(X=0.046614,Y=-0.122101)","True"
2,"(X=-177.827484,Y=66.334976,Z=52.929157)","0.031106","0.447788",StaticMeshActor_20,"(X=-79.999329,Y=-39.999969,Z=0.0)","(Pitch=0.0,Yaw=-90.000183,Roll=0.0)","(X=0.1,Y=0.1,Z=0.1)","(X=-1063.346191,Y=-978.284912,Z=529.291565)","(X=0.921699,Y=0.25469,Z=0.292581)","(X=-0.977511,Y=-0.106675,Z=-0.181913)","(X=134.691162,Y=100.439728,Z=111.088348)","(Pitch=-3.380431,Yaw=-177.278473,Roll=0.407749)","0.917075","0.935405","(X=0.074017,Y=-0.049761)","(X=0.012016,Y=-0.124847)","(X=0.043136,Y=-0.087159)","True"
3,"(X=-147.074509,Y=73.661102,Z=0.999931)","0.060809","0.508596",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=52.925491,Y=273.661102,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.930788,Y=-0.095057,Z=-0.352984)","(X=141.473709,Y=103.129189,Z=110.426521)","(Pitch=-23.131958,Yaw=-178.940903,Roll=-0.019348)","0.934403","0.891324","(X=0.054725,Y=0.029283)","(X=0.0,Y=0.0)","(X=0.054725,Y=0.029283)","True"
4,"(X=-147.074509,Y=73.661102,Z=0.999931)","0.4","0.908596",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=52.925491,Y=273.661102,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.930853,Y=-0.09443,Z=-0.352981)","(X=141.583618,Y=102.94381,Z=110.459564)","(Pitch=-23.434023,Yaw=-178.83316,Roll=-0.405212)","0.645784","0.666404","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
5,"(X=-187.000015,Y=87.228279,Z=4.786438)","0.394127","1.302723",StaticMeshActor_45,"(X=-189.0,Y=0.0,Z=5.0)","(Pitch=0.0,Yaw=89.999992,Roll=0.0)","(X=4.0,Y=0.02,Z=0.12)","(X=21.807068,Y=-99.999237,Z=-1.779683)","(X=1.0,Y=-0.0,Z=0.0)","(X=-0.949885,Y=-0.044355,Z=-0.309438)","(X=143.819992,Y=102.676086,Z=112.555603)","(Pitch=-15.450522,Yaw=-178.449356,Roll=0.610374)","1.0","1.0","(X=0.019393,Y=-0.027673)","(X=0.007403,Y=-0.035101)","(X=0.013399,Y=-0.031387)","True"
6,"(X=-105.019821,Y=98.487976,Z=0.999931)","0.4","1.702723",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=94.980179,Y=298.487976,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.912681,Y=-0.016658,Z=-0.408332)","(X=148.187958,Y=103.109512,Z=114.284691)","(Pitch=-7.541013,Yaw=-179.303635,Roll=-0.738159)","1.0","1.0","(X=0.015828,Y=-0.207487)","(X=-0.01307,Y=-0.208987)","(X=0.001382,Y=-0.208237)","True"
7,"(X=-122.481384,Y=83.783821,Z=0.999924)","0.096069","1.798792",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=77.518616,Y=283.783813,Z=0.999924)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.921536,Y=-0.061955,Z=-0.383318)","(X=150.151367,Y=102.112915,Z=114.402878)","(Pitch=-5.524653,Yaw=-176.654114,Roll=-1.44284)","1.0","1.0","(X=0.014538,Y=-0.212027)","(X=-0.013547,Y=-0.216701)","(X=0.000509,Y=-0.214362)","True"
8,"(X=-108.59343,Y=84.35582,Z=0.999924)","0.012515","1.811307",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=91.40657,Y=284.355835,Z=0.999924)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.913981,Y=-0.062817,Z=-0.400866)","(X=149.135757,Y=102.06942,Z=114.038177)","(Pitch=-6.911283,Yaw=-175.647858,Roll=1.698489)","1.0","1.0","(X=0.016944,Y=-0.212724)","(X=-0.01427,Y=-0.208107)","(X=0.001322,Y=-0.210413)","True"
9,"(X=-112.467255,Y=85.077766,Z=0.999931)","0.012312","1.82362",StaticMeshActor_1,"(X=-200.0,Y=-200.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=87.532745,Y=285.077759,Z=0.999931)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.916328,Y=-0.059464,Z=-0.39599)","(X=149.112732,Y=102.052757,Z=114.041313)","(Pitch=-6.956814,Yaw=-175.569397,Roll=2.014225)","1.0","1.0","(X=0.015812,Y=-0.206689)","(X=-0.018119,Y=-0.205082)","(X=-0.001159,Y=-0.205885)","True"
