Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.016667","0.016667",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.416667",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=550.540771,Y=-36.88689,Z=-109.220772)","(Pitch=6.256542,Yaw=26.022263,Roll=9.538797)","1.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
2,"(X=874.813477,Y=94.870941,Z=-113.130943)","0.027004","0.443671",StaticMeshActor_67,"(X=787.755432,Y=201.327667,Z=-172.789352)","(Pitch=0.0,Yaw=90.000237,Roll=0.0)","(X=1.75,Y=1.75,Z=1.75)","(X=-60.832619,Y=-49.7472,Z=34.090519)","(X=-0.934586,Y=-0.157185,Z=0.319126)","(X=0.926387,Y=0.376408,Z=-0.011171)","(X=550.540771,Y=-36.88689,Z=-109.220772)","(Pitch=6.256542,Yaw=26.022263,Roll=9.538797)","0.0","0.0","(X=-0.082998,Y=-0.280713)","(X=0.012518,Y=0.084309)","(X=-0.033493,Y=-0.091526)","True"
3,"(X=759.793884,Y=-450.005981,Z=-187.555389)","0.037298","0.480969",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=318.433197,Y=-10.571444,Z=59.806885)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.46222,Y=-0.870317,Z=-0.170001)","(X=547.248718,Y=-49.803066,Z=-109.382706)","(Pitch=-16.33917,Yaw=-66.620087,Roll=0.669029)","0.0","0.0","(X=0.090558,Y=0.086738)","(X=0.019477,Y=0.074674)","(X=0.054845,Y=0.080676)","True"
4,"(X=759.793884,Y=-450.005981,Z=-187.555389)","0.397589","0.878557",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=318.433197,Y=-10.571444,Z=59.806885)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.462303,Y=-0.8703,Z=-0.169866)","(X=547.11499,Y=-49.630966,Z=-109.409966)","(Pitch=-13.239468,Yaw=-65.94722,Roll=-0.403015)","0.530963","0.772292","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
5,"(X=762.140869,Y=-450.005981,Z=-144.830307)","0.240641","1.119199",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=317.259949,Y=-10.571442,Z=82.533005)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.471778,Y=-0.878345,Z=-0.07704)","(X=546.994385,Y=-49.451576,Z=-109.697319)","(Pitch=-2.752347,Yaw=-62.980438,Roll=-0.659119)","1.0","1.0","(X=0.01862,Y=-0.025455)","(X=0.010699,Y=-0.015648)","(X=0.014658,Y=-0.02055)","True"
6,"(X=715.294373,Y=-450.006042,Z=-201.533051)","0.4","1.519199",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=340.682892,Y=-10.571433,Z=52.37167)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.378488,Y=-0.902049,Z=-0.207497)","(X=547.088806,Y=-49.122868,Z=-109.318428)","(Pitch=-3.905823,Yaw=-63.45565,Roll=-0.664001)","1.0","1.0","(X=-0.044567,Y=-0.105015)","(X=-0.049193,Y=-0.093113)","(X=-0.046882,Y=-0.099059)","True"
7,"(X=578.757751,Y=-118.455582,Z=-145.117584)","0.008874","1.528073",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-5.226419,Y=0.201746,Z=76.6371)","(X=0.003641,Y=0.007308,Z=0.999967)","(X=0.387715,Y=-0.828431,Z=-0.404203)","(X=547.374634,Y=-51.399223,Z=-112.399857)","(Pitch=-15.093509,Yaw=-61.725571,Roll=-1.951752)","1.0","1.0","(X=-0.041085,Y=-0.107997)","(X=-0.038557,Y=-0.105726)","(X=-0.039821,Y=-0.106861)","True"
8,"(X=576.265686,Y=-110.553513,Z=-145.151947)","0.010986","1.539059",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-7.933982,Y=8.032595,Z=76.602737)","(X=0.006857,Y=0.004879,Z=0.999965)","(X=0.389731,Y=-0.806486,Z=-0.444623)","(X=547.768372,Y=-51.582901,Z=-112.64093)","(Pitch=-18.574419,Yaw=-60.483192,Roll=0.419041)","1.0","1.0","(X=-0.04202,Y=-0.086855)","(X=-0.038962,Y=-0.107434)","(X=-0.040494,Y=-0.097125)","True"
9,"(X=575.415649,Y=-110.099373,Z=-145.148331)","0.00876","1.547819",StaticMeshActor_137,"(X=583.976685,Y=-118.8004,Z=-221.754684)","(Pitch=0.0,Yaw=-1.569488,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-8.796139,Y=8.463282,Z=76.606354)","(X=0.006857,Y=0.004879,Z=0.999965)","(X=0.382273,Y=-0.808045,Z=-0.448253)","(X=547.758179,Y=-51.637283,Z=-112.717247)","(Pitch=-18.498898,Yaw=-60.56424,Roll=0.756471)","1.0","1.0","(X=-0.045485,Y=-0.095996)","(X=-0.042845,Y=-0.106805)","(X=-0.044167,Y=-0.101395)","True"
