Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=452.687408,Y=-4.832063,Z=27.593985)","0.016667","0.016667",StaticMeshActor_107,"(X=471.179413,Y=504.861237,Z=-299.1716)","(Pitch=0.0,Yaw=-89.999542,Roll=0.000687)","(X=2.0,Y=1.75,Z=1.88)","(X=254.846573,Y=-10.571393,Z=173.811356)","(X=-1.0,Y=-0.000008,Z=0.000012)","(X=0.998091,Y=-0.010654,Z=0.06084)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","1.0","1.0","(X=0.009313,Y=0.042349)","(X=-0.024271,Y=0.043015)","(X=-0.007474,Y=0.042682)","True"
1,"(X=657.879028,Y=-450.006104,Z=56.08213)","0.4","0.416667",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=369.39209,Y=-10.571429,Z=189.40065)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.22604,Y=-0.903372,Z=0.364451)","(X=560.508972,Y=-60.865051,Z=-100.910667)","(Pitch=17.445894,Yaw=-76.387749,Roll=17.174461)","1.0","1.0","(X=0.009757,Y=0.047811)","(X=-0.028669,Y=0.047006)","(X=-0.00945,Y=0.047409)","True"
2,"(X=656.286194,Y=-450.006134,Z=54.671257)","0.022459","0.439126",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=370.188507,Y=-10.571413,Z=188.650192)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.222792,Y=-0.9052,Z=0.361907)","(X=560.508972,Y=-60.865051,Z=-100.910667)","(Pitch=17.445894,Yaw=-76.387749,Roll=17.174461)","1.0","1.0","(X=0.011206,Y=0.039976)","(X=-0.033823,Y=0.049683)","(X=-0.011287,Y=0.044825)","True"
3,"(X=788.049683,Y=-450.005951,Z=-184.789337)","0.06556","0.504687",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=304.305298,Y=-10.571445,Z=61.278366)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.510476,Y=-0.845293,Z=-0.157781)","(X=547.242249,Y=-51.254936,Z=-110.358894)","(Pitch=-13.895138,Yaw=-57.588524,Roll=-2.416412)","1.0","1.0","(X=0.005993,Y=0.057053)","(X=-0.032116,Y=0.062117)","(X=-0.013046,Y=0.059583)","True"
4,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.393267","0.897954",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.513802,Y=-0.833041,Z=-0.205062)","(X=547.337708,Y=-51.472313,Z=-110.516251)","(Pitch=-14.500272,Yaw=-57.077202,Roll=-2.306152)","1.0","1.0","(X=0.001914,Y=0.027877)","(X=-0.02941,Y=0.03846)","(X=-0.013735,Y=0.033164)","True"
5,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.346337","1.244291",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.513802,Y=-0.833041,Z=-0.205062)","(X=548.309937,Y=-52.169666,Z=-110.666466)","(Pitch=-13.031672,Yaw=-55.428856,Roll=0.926627)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
6,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.211002","1.455293",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.512731,Y=-0.833775,Z=-0.204758)","(X=548.306213,Y=-51.863529,Z=-110.844254)","(Pitch=-17.516626,Yaw=-53.624092,Roll=-0.796142)","1.0","1.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
7,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.008107","1.4634",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.513087,Y=-0.833661,Z=-0.204332)","(X=547.472595,Y=-50.838993,Z=-110.78334)","(Pitch=-16.465816,Yaw=-55.521004,Roll=-3.481386)","1.0","1.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
8,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.008144","1.471544",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.510832,Y=-0.834438,Z=-0.206793)","(X=548.415283,Y=-50.24366,Z=-109.549324)","(Pitch=-9.60955,Yaw=-55.224564,Roll=2.070502)","1.0","1.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
9,"(X=793.144653,Y=-450.005951,Z=-208.619812)","0.011086","1.48263",StaticMeshActor_117,"(X=1396.658936,Y=-468.505402,Z=-300.0)","(Pitch=0.00069,Yaw=-179.999939,Roll=0.0)","(X=2.0,Y=1.75,Z=1.88)","(X=301.75769,Y=-10.571444,Z=48.602615)","(X=-0.000001,Y=1.0,Z=0.0)","(X=0.510715,Y=-0.834517,Z=-0.206764)","(X=548.462952,Y=-50.192394,Z=-109.560013)","(Pitch=-9.584708,Yaw=-55.084435,Roll=2.14897)","1.0","1.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
