Name,Position,Duration,TimeStamp,ObjectName,ObjectPosition,ObjectRotation,ObjectScale,HitPosition,HitNormal,EyeDirection,HeadPosition,HeadRotation,EyeLeftBlink,EyeRightBlink,GazeLeftCoord,GazeRightCoord,GazeCombineCoord,Tracked
0,"(X=0.0,Y=0.0,Z=0.0)","0.01671","0.01671",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
1,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.41671",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=46.486671,Y=53.201263,Z=116.781532)","(Pitch=-14.301965,Yaw=-130.3685,Roll=1.822642)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
2,"(X=0.0,Y=0.0,Z=0.0)","0.028077","0.444788",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=46.486671,Y=53.201263,Z=116.781532)","(Pitch=-14.301965,Yaw=-130.3685,Roll=1.822642)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
3,"(X=0.0,Y=0.0,Z=0.0)","0.029506","0.474294",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=48.38567,Y=46.679859,Z=116.765457)","(Pitch=13.409293,Yaw=-120.574936,Roll=1.619459)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
4,"(X=0.0,Y=0.0,Z=0.0)","0.4","0.874294",None,"(X=0.0,Y=0.0,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=0.0,Y=0.0,Z=0.0)","(X=48.496105,Y=46.845829,Z=116.28653)","(Pitch=12.022997,Yaw=-121.497597,Roll=0.497754)","0.0","0.0","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","(X=0.0,Y=0.0)","False"
5,"(X=-133.867249,Y=-189.001221,Z=246.743607)","0.4","1.274294",StaticMeshActor_6,"(X=-430.0,Y=-200.001221,Z=0.0)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=296.132751,Y=11.0,Z=246.743607)","(X=0.0,Y=1.0,Z=-0.0)","(X=-0.558146,Y=-0.732661,Z=0.389462)","(X=49.114243,Y=51.193001,Z=119.063316)","(Pitch=21.090073,Yaw=-124.843773,Roll=0.88182)","1.0","1.0","(X=-0.008916,Y=0.02335)","(X=-0.047171,Y=0.02102)","(X=-0.028024,Y=0.022186)","True"
6,"(X=-45.90126,Y=-49.767616,Z=79.938477)","0.4","1.674294",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=-37.423195,Y=-54.681206,Z=3.12291)","(X=0.130218,Y=0.181719,Z=0.97469)","(X=-0.644722,Y=-0.723878,Z=-0.24563)","(X=51.378059,Y=59.45507,Z=117.000557)","(Pitch=-6.951841,Yaw=-128.083557,Roll=2.363689)","1.0","1.0","(X=-0.019154,Y=-0.088066)","(X=-0.059715,Y=-0.094609)","(X=-0.03939,Y=-0.09133)","True"
7,"(X=0.243195,Y=4.474831,Z=75.13282)","0.083171","1.757465",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=8.72126,Y=-0.438759,Z=-1.682747)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.594692,Y=-0.668234,Z=-0.446996)","(X=52.65313,Y=63.365986,Z=114.526428)","(Pitch=-19.195433,Yaw=-128.313461,Roll=-0.423371)","1.0","1.0","(X=-0.015088,Y=-0.087331)","(X=-0.060361,Y=-0.09389)","(X=-0.037673,Y=-0.090603)","True"
8,"(X=-0.166534,Y=-2.40274,Z=75.132813)","0.009555","1.76702",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=8.311531,Y=-7.31633,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.567457,Y=-0.702355,Z=-0.429756)","(X=52.65966,Y=62.98156,Z=115.140068)","(Pitch=-18.170557,Yaw=-125.805847,Roll=-1.204864)","1.0","1.0","(X=-0.014797,Y=-0.087188)","(X=-0.058751,Y=-0.091078)","(X=-0.036731,Y=-0.089129)","True"
9,"(X=-0.68874,Y=-2.372536,Z=75.132813)","0.009116","1.776136",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=7.789326,Y=-7.286125,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.571398,Y=-0.699996,Z=-0.42838)","(X=52.654488,Y=62.975998,Z=115.124451)","(Pitch=-18.24243,Yaw=-125.95871,Roll=-1.163911)","1.0","1.0","(X=-0.018713,Y=-0.088359)","(X=-0.057642,Y=-0.086004)","(X=-0.038153,Y=-0.087183)","True"
10,"(X=-0.440556,Y=-1.970177,Z=75.132813)","0.008976","1.785112",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=8.03751,Y=-6.883766,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.571104,Y=-0.69908,Z=-0.430265)","(X=52.636528,Y=63.000687,Z=115.120674)","(Pitch=-18.342493,Yaw=-125.927574,Roll=-1.254699)","1.0","1.0","(X=-0.019258,Y=-0.086939)","(X=-0.05852,Y=-0.087801)","(X=-0.038857,Y=-0.08737)","True"
11,"(X=-1.141361,Y=-2.44754,Z=75.13282)","0.00916","1.794272",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=7.336704,Y=-7.36113,Z=-1.682747)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.573966,Y=-0.698715,Z=-0.427038)","(X=52.630436,Y=63.01133,Z=115.139755)","(Pitch=-18.319126,Yaw=-126.030083,Roll=-1.244111)","1.0","1.0","(X=-0.019553,Y=-0.081829)","(X=-0.059386,Y=-0.088436)","(X=-0.039427,Y=-0.085126)","True"
12,"(X=-1.424225,Y=-2.984413,Z=75.13282)","0.010384","1.804656",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=7.053841,Y=-7.898003,Z=-1.682747)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.573395,Y=-0.70054,Z=-0.424807)","(X=52.602871,Y=63.022705,Z=115.15947)","(Pitch=-18.212433,Yaw=-126.147469,Roll=-1.188537)","1.0","1.0","(X=-0.016196,Y=-0.082604)","(X=-0.057749,Y=-0.086851)","(X=-0.036933,Y=-0.084723)","True"
13,"(X=-2.19902,Y=-3.263172,Z=75.132828)","0.010344","1.815001",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=6.279045,Y=-8.176762,Z=-1.682739)","(X=0.00612,Y=0.004695,Z=0.99997)","(X=-0.577592,Y=-0.698729,Z=-0.422096)","(X=52.597771,Y=63.026005,Z=115.177498)","(Pitch=-18.069941,Yaw=-126.217163,Roll=-1.211426)","1.0","1.0","(X=-0.019796,Y=-0.080226)","(X=-0.058963,Y=-0.088499)","(X=-0.039335,Y=-0.084353)","True"
14,"(X=-1.458397,Y=-2.216866,Z=75.13282)","0.018487","1.833488",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=7.019669,Y=-7.130455,Z=-1.682747)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.576671,Y=-0.696213,Z=-0.427479)","(X=52.581207,Y=63.025024,Z=115.191742)","(Pitch=-17.99304,Yaw=-126.315544,Roll=-1.188752)","1.0","1.0","(X=-0.019525,Y=-0.089511)","(X=-0.058278,Y=-0.0896)","(X=-0.038872,Y=-0.089555)","True"
15,"(X=-2.787346,Y=-3.529305,Z=75.132813)","0.020941","1.854429",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.69072,Y=-8.442894,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.580082,Y=-0.697742,Z=-0.420311)","(X=52.540958,Y=63.021431,Z=115.222198)","(Pitch=-17.785156,Yaw=-126.335068,Roll=-0.950103)","1.0","1.0","(X=-0.02195,Y=-0.083397)","(X=-0.05715,Y=-0.089951)","(X=-0.039516,Y=-0.086668)","True"
16,"(X=-3.599472,Y=-4.449364,Z=75.132813)","0.022459","1.876888",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=4.878593,Y=-9.362953,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.581731,Y=-0.699098,Z=-0.415755)","(X=52.528671,Y=63.002922,Z=115.246819)","(Pitch=-17.660156,Yaw=-126.404526,Roll=-0.761688)","1.0","1.0","(X=-0.022253,Y=-0.080802)","(X=-0.055376,Y=-0.088757)","(X=-0.038782,Y=-0.084772)","True"
17,"(X=-3.788536,Y=-5.001991,Z=75.132813)","0.02282","1.899708",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=4.689529,Y=-9.915581,Z=-1.682755)","(X=-0.0,Y=0.0,Z=1.0)","(X=-0.580849,Y=-0.700738,Z=-0.414223)","(X=52.518551,Y=62.927002,Z=115.287239)","(Pitch=-17.57855,Yaw=-126.416321,Roll=-0.691193)","1.0","1.0","(X=-0.019959,Y=-0.080684)","(X=-0.054809,Y=-0.088566)","(X=-0.037349,Y=-0.084617)","True"
18,"(X=-2.793144,Y=-3.433235,Z=75.13282)","0.021669","1.921377",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.684921,Y=-8.346825,Z=-1.682747)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.580595,Y=-0.696526,Z=-0.421616)","(X=52.523857,Y=62.929276,Z=115.302902)","(Pitch=-17.52722,Yaw=-126.433746,Roll=-0.52652)","1.0","1.0","(X=-0.02418,Y=-0.08582)","(X=-0.053161,Y=-0.096565)","(X=-0.03864,Y=-0.091181)","True"
19,"(X=-3.055721,Y=-4.38586,Z=75.132813)","0.022761","1.944138",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.422344,Y=-9.29945,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.578492,Y=-0.700354,Z=-0.418152)","(X=52.534138,Y=62.914234,Z=115.314896)","(Pitch=-17.425957,Yaw=-126.43914,Roll=-0.56311)","1.0","1.0","(X=-0.019144,Y=-0.088482)","(X=-0.052506,Y=-0.090826)","(X=-0.035802,Y=-0.089653)","True"
20,"(X=-2.930077,Y=-4.067818,Z=75.132813)","0.023012","1.96715",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.547989,Y=-8.981407,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.578938,Y=-0.699354,Z=-0.419207)","(X=52.550983,Y=62.953011,Z=115.306412)","(Pitch=-17.418791,Yaw=-126.446655,Roll=-0.709686)","1.0","1.0","(X=-0.020898,Y=-0.087437)","(X=-0.052434,Y=-0.093541)","(X=-0.036639,Y=-0.090484)","True"
21,"(X=-3.180412,Y=-4.389423,Z=75.132813)","0.021337","1.988486",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.297653,Y=-9.303013,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.579316,Y=-0.700045,Z=-0.417528)","(X=52.554054,Y=62.960011,Z=115.302048)","(Pitch=-17.460722,Yaw=-126.461533,Roll=-0.756286)","1.0","1.0","(X=-0.01876,Y=-0.08638)","(X=-0.054169,Y=-0.090854)","(X=-0.036435,Y=-0.088613)","True"
22,"(X=-2.491341,Y=-3.391003,Z=75.132813)","0.022545","2.011032",StaticMeshActor_49,"(X=-8.478065,Y=4.913589,Z=76.815567)","(Pitch=0.0,Yaw=0.0,Roll=0.0)","(X=1.0,Y=1.0,Z=1.0)","(X=5.986725,Y=-8.304592,Z=-1.682755)","(X=0.0,Y=0.0,Z=1.0)","(X=-0.578819,Y=-0.697624,Z=-0.422243)","(X=52.556801,Y=62.956043,Z=115.289902)","(Pitch=-17.571379,Yaw=-126.48671,Roll=-0.717651)","1.0","1.0","(X=-0.018387,Y=-0.087833)","(X=-0.055431,Y=-0.094122)","(X=-0.036873,Y=-0.090971)","True"
